code;isin;date;coursPrecedent;coursJour;coursReference;cleanPrice;couponCouru;dirtyPrice;volume;valeurTransigee
TPCI.O52;CI0000003919;2026-01-05;6250;;6250;6250;95.98;6345.98;0;0
TPCI.O53;CI0000003901;2026-01-05;4240;;4240;4240;43.86;4283.86;0;0
TPCI.O54;CI0000003844;2026-01-05;6250;;6250;6250;69.71;6319.71;0;0
TPCI.O55;CI0000004057;2026-01-05;4000;;4000;4000;6.99;4006.99;0;0
TPCI.O57;CI0000003968;2026-01-05;3880;;3880;3880;29.24;3909.24;0;0
TPCI.O58;CI0000004172;2026-01-05;6000;;6000;6000;287.93;6287.93;0;0
TPCI.O60;CI0000004313;2026-01-05;10000;;10000;10000;376.6;10376.6;0;0
TPCI.O61;CI0000004321;2026-01-05;10000;;10000;10000;383.1;10383.1;0;0
TPCI.O62;CI0000004479;2026-01-05;6000;;6000;6000;180.2;6180.2;0;0
TPCI.O63;CI0000004487;2026-01-05;7500;;7500;7500;229.13;7729.13;0;0
TPCI.O65;CI0000004834;2026-01-05;8025;;8025;8025;117.6;8142.6;0;0
TPCI.O67;CI0000004925;2026-01-05;10000;;10000;10000;32.33;10032.33;0;0
TPCI.O68;CI0000004974;2026-01-05;10000;;10000;10000;546.36;10546.36;0;0
TPCI.O69;CI0000005096;2026-01-05;9999;;9999;9999;455.27;10454.27;0;0
TPCI.O70;CI0000005179;2026-01-05;10000;;10000;10000;395.41;10395.41;0;0
TPCI.O71;CI0000005310;2026-01-05;10000;;10000;10000;315.78;10315.78;0;0
TPCI.O72;CI0000005385;2026-01-05;7920;;7920;7920;198.14;8118.14;0;0
TPCI.O73;CI0000005393;2026-01-05;8750;;8750;8750;220.55;8970.55;0;0
TPCI.O75;CI0000005641;2026-01-05;10700;;10700;10700;139.32;10839.32;0;0
TPCI.O76;CI0000005658;2026-01-05;10500;;10500;10500;141.78;10641.78;0;0
TPCI.O77;CI0000005674;2026-01-05;10000;;10000;10000;101.48;10101.48;0;0
TPCI.O78;CI0000005880;2026-01-05;10000;;10000;10000;35.6;10035.6;0;0
TPCI.O79;CI0000006235;2026-01-05;10750;;10750;10750;489.93;11239.93;0;0
TPCI.O80;CI0000006383;2026-01-05;9600;;9600;9600;383.01;9983.01;0;0
TPCI.O81;CI0000006680;2026-01-05;10500;;10500;10500;255.4;10755.4;0;0
