code_poste,libelle_long,libelle_court,categorie,format_etats,ordre,type_valeur
BIL_IMMO_CORP,IMMOBILISATIONS CORPORELLES,IMMOBILISATIONS CORPORELLES,Bilan_Actif,Bancaire,80,Detail
BIL_TOTAL_ACTIF,TOTAL GENERAL,Total Actif,Bilan_Actif,Bancaire,81,Total
BIL_P_BANQUES_CENTRALES_CCP,"BANQUES CENTRALES, CCP","BANQUES CENTRALES, CCP",Bilan_Passif,Bancaire,84,Detail
BIL_DETTES_INTERBANC,DETTES INTERBANCAIRES ET ASSIMILEES,DETTES INTERBANCAIRES ET ASSIMILEES,Bilan_Passif,Bancaire,85,Detail
BIL_DETTES_CLIENTELE,DETTES A L'EGARD DE LA CLIENTELE,DETTES A L'EGARD DE LA CLIENTELE,Bilan_Passif,Bancaire,86,Detail
BIL_P_DETTES_REPRESENTEES_PAR_UN_TITRE,DETTES REPRESENTEES PAR UN TITRE,DETTES REPRESENTEES PAR UN TITRE,Bilan_Passif,Bancaire,87,Detail
BIL_P_AUTRES_PASSIFS,AUTRES PASSIFS,AUTRES PASSIFS,Bilan_Passif,Bancaire,88,Detail
BIL_P_COMPTES_DE_REGULARISATION,COMPTES DE REGULARISATION,COMPTES DE REGULARISATION,Bilan_Passif,Bancaire,89,Detail
BIL_P_PROVISIONS,PROVISIONS,PROVISIONS,Bilan_Passif,Bancaire,90,Detail
BIL_P_EMPRUNTS_ET_TITRES_EMIS_SUBORDONNES,EMPRUNTS ET TITRES EMIS SUBORDONNES,EMPRUNTS ET TITRES EMIS SUBORDONNES,Bilan_Passif,Bancaire,91,Detail
BIL_TOTAL_CP,CAPITAUX PROPRES,CAPITAUX PROPRES,Bilan_Passif,Bancaire,92,Detail
BIL_CAPITAL,CAPITAL SOUSCRIT,CAPITAL SOUSCRIT,Bilan_Passif,Bancaire,93,Detail
BIL_PRIMES,PRIMES LIEES AU CAPITAL,PRIMES LIEES AU CAPITAL,Bilan_Passif,Bancaire,94,Detail
BIL_RESERVES,RESERVES,RESERVES,Bilan_Passif,Bancaire,95,Detail
BIL_P_ECARTS_DE_REEVALUATION,ECARTS DE REEVALUATION,ECARTS DE REEVALUATION,Bilan_Passif,Bancaire,96,Detail
BIL_P_PROVISIONS_REGLEMENTEES,PROVISIONS REGLEMENTEES,PROVISIONS REGLEMENTEES,Bilan_Passif,Bancaire,97,Detail
BIL_REPORT_NVEAU,REPORT A NOUVEAU,REPORT A NOUVEAU,Bilan_Passif,Bancaire,98,Detail
BIL_RNET,RESULTAT DE L'EXERCICE,RESULTAT DE L'EXERCICE,Bilan_Passif,Bancaire,99,Detail
BIL_TOTAL_PASSIF,TOTAL GENERAL,Total Passif,Bilan_Passif,Bancaire,100,Total
HB_ENG_DONNES,ENGAGEMENTS DONNES,ENGAGEMENTS DONNES,Hors_Bilan,Bancaire,103,Detail
HB_ENGAGEMENTS_DE_FINANCEMENT,ENGAGEMENTS DE FINANCEMENT,ENGAGEMENTS DE FINANCEMENT,Hors_Bilan,Bancaire,104,Detail
HB_ENGAGEMENTS_DE_GARANTIE,ENGAGEMENTS DE GARANTIE,ENGAGEMENTS DE GARANTIE,Hors_Bilan,Bancaire,105,Detail
HB_ENGAGEMENTS_SUR_TITRES,ENGAGEMENTS SUR TITRES,ENGAGEMENTS SUR TITRES,Hors_Bilan,Bancaire,106,Detail
HB_ENG_RECUS,ENGAGEMNETS RECUS,ENGAGEMNETS RECUS,Hors_Bilan,Bancaire,107,Detail
HB_ENGAGEMENTS_DE_FINANCEMENT,ENGAGEMENTS DE FINANCEMENT,ENGAGEMENTS DE FINANCEMENT,Hors_Bilan,Bancaire,108,Detail
HB_ENGAGEMENTS_DE_GARANTIE,ENGAGEMENTS DE GARANTIE,ENGAGEMENTS DE GARANTIE,Hors_Bilan,Bancaire,109,Detail
HB_ENGAGEMENTS_SUR_TITRES,ENGAGEMENTS SUR TITRES,ENGAGEMENTS SUR TITRES,Hors_Bilan,Bancaire,110,Detail
CR_INTERETS_ET_PRODUITS_ASSIMILES,INTERETS ET PRODUITS ASSIMILES,INTERETS ET PRODUITS ASSIMILES,Compte_Resultat,Bancaire,113,Produit
CR_INTERETS_ET_CHARGES_ASSIMILEES,INTERETS ET CHARGES ASSIMILEES,INTERETS ET CHARGES ASSIMILEES,Compte_Resultat,Bancaire,114,Charge
CR_REVENUS_DES_TITRES_A_REVENU_VARIABLE,REVENUS DES TITRES A REVENU VARIABLE,REVENUS DES TITRES A REVENU VARIABLE,Compte_Resultat,Bancaire,115,Produit
CR_COMMISSIONS,COMMISSIONS,COMMISSIONS,Compte_Resultat,Bancaire,116,Produit
CR_COMMISSIONS,COMMISSIONS,COMMISSIONS,Compte_Resultat,Bancaire,117,Charge
CR_GAINS_NETS_SUR_OPERATIONS_DES_PORTEFEUIL,GAINS NETS SUR OPERATIONS DES PORTEFEUILLES DE NEGOCIATION,GAINS NETS SUR OPERATIONS DES PORTEFEUILLES DE NEGOCIATION,Compte_Resultat,Bancaire,118,Produit
CR_GAINS_NETS_SUR_OPERATIONS_DES_PORTEFEUIL,GAINS NETS SUR OPERATIONS DES PORTEFEUILLES DE PLACEMENT ET ASSIMILES,GAINS NETS SUR OPERATIONS DES PORTEFEUILLES DE PLACEMENT ET ASSIMILES,Compte_Resultat,Bancaire,119,Produit
CR_AUTRES_PRODUITS_D_EXPL_BANCAIRE,AUTRES PRODUITS D'EXPL. BANCAIRE,AUTRES PRODUITS D'EXPL. BANCAIRE,Compte_Resultat,Bancaire,120,Produit
CR_AUTRES_CHARGES_D_EXPL_BANCAIRE,AUTRES CHARGES D'EXPL. BANCAIRE,AUTRES CHARGES D'EXPL. BANCAIRE,Compte_Resultat,Bancaire,121,Charge
CR_CA,PRODUIT NET BANCAIRE,Produit Net Bancaire,Compte_Resultat,Bancaire,122,SIG
CR_SUBVENTIONS_D_INVESTISSEMENT,SUBVENTIONS D'INVESTISSEMENT,SUBVENTIONS D'INVESTISSEMENT,Compte_Resultat,Bancaire,123,Produit
CR_CHARGES_GENERALES_D_EXPLOITATION,CHARGES GENERALES D'EXPLOITATION,CHARGES GENERALES D'EXPLOITATION,Compte_Resultat,Bancaire,124,Charge
CR_DOTATION_AUX_AMORT,DOTATION AUX AMORT.,DOTATION AUX AMORT.,Compte_Resultat,Bancaire,125,Charge
CR_RBE,RESULTAT BRUT D'EXPLOITATION,RESULTAT BRUT D'EXPLOITATION,Compte_Resultat,Bancaire,126,SIG
