source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
coinafrique;location;maison;Location maisons de vacances 3 pièces - Cocody rivera golf;80000;;;3;Cocody;;;https://ci.coinafrique.com/annonce/maisons-de-vacances/location-maisons-de-vacances-3-pieces-cocody-rivera-golf-5880458;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement de standing 4 pièces - marcory résidentiel;1150000;150;7667;4;Marcory;Résidentiel;;https://ci.coinafrique.com/annonce/appartements/location-appartement-de-standing-4-pieces-marcory-residentiel-5863060;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement de haut standing 3 pièces - cocody riviera 3;1500000;120;12500;3;Cocody;Riviera 3;haut;https://ci.coinafrique.com/annonce/appartements/location-appartement-de-haut-standing-3-pieces-cocody-riviera-3-5857145;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location  appartement  4pièces  - Riviera 2;500000;180;2778;4;Cocody;Riviera 2;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4pieces-riviera-2-5864761;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement  3pièces - Riviera 2;500000;150;3333;3;Cocody;Riviera 2;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3pieces-riviera-2-5864760;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 5 pièces à Cocody rivera golf les elias;1000000;210;4762;5;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-a-cocody-rivera-golf-les-elias-5853778;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartements 3 pièces - Cocody;400000;70;5714;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-cocody-5554867;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 6 pièces - Angré- faya sir;600000;400;1500;6;Cocody;Angré;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-6-pieces-angre-faya-sir-5887583;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrains 800 m2  - Cocody attoban;400000000;800;500000;;Cocody;Attoban;;https://ci.coinafrique.com/annonce/terrains/terrains-800-m2-cocody-attoban-5888859;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 4ha à Bingerville M'batto Bouaké;45000;40000;1;;Bingerville;;;https://ci.coinafrique.com/annonce/terrains/terrain-4ha-a-bingerville-mbatto-bouake-5871622;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 1553m2  à bingerville nord-est en bordure du boulevard situé entre 3 voies;250000000;1553;160979;;Bingerville;;;https://ci.coinafrique.com/annonce/terrains/terrain-1553m2-a-bingerville-nord-est-en-bordure-du-boulevard-situe-entre-3-voies-5875446;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villas 8 pièces - Cocody angré gestoci;1800000;800;2250;8;Cocody;Angré;;https://ci.coinafrique.com/annonce/villas/location-villas-8-pieces-cocody-angre-gestoci-5889217;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 5 pièces - Cocody;2500000;200;12500;5;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-cocody-5887684;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 15,5 ha à Ebimpé;30000;15500;2;;Anyama;;;https://ci.coinafrique.com/annonce/terrains/terrain-15-5-ha-a-ebimpe-5880704;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location  villa duplex 5pieces  - Bingerville;80000000;250;320000;5;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-5pieces-bingerville-5882766;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa de 5 pièces à Cocody rivera 4;2000000;600;3333;5;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-de-5-pieces-a-cocody-rivera-4-5853768;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement à cocody angré 7e tranche;400000;;;;Cocody;7e Tranche;;https://ci.coinafrique.com/annonce/appartements/location-appartement-a-cocody-angre-7e-tranche-5846892;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement  4 pièces - Cocody riviera m'badon;1500000;170;8824;4;Cocody;Riviera M'Badon;;https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-riviera-mbadon-5873755;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex  7 pièces - Cocody riviera m'badon;2500000;500;5000;7;Cocody;Riviera M'Badon;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-7-pieces-cocody-riviera-mbadon-5873749;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location  appartements 3 pièces - Abidjan cocody 8eme tranche;900000;250;3600;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-abidjan-cocody-8eme-tranche-5860171;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de 6 pièces  à cocody rivera bonoumin non loin d’Abidjan mool;1000000;350;2857;6;Cocody;Bonoumin;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-6-pieces-a-cocody-rivera-bonoumin-non-loin-dabidjan-mool-5853762;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa basse 5 pièces  - Cocody riviera abatta;600000;300;2000;5;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-basse-5-pieces-cocody-riviera-abatta-5873739;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa  duplex  7 pièces  - Faya cité Bnetd;750000;500;1500;7;Cocody;Faya;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-7-pieces-faya-cite-bnetd-5868039;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement  à cocody hangré 7e tranche;400000;;;;Cocody;7e Tranche;;https://ci.coinafrique.com/annonce/appartements/location-appartement-a-cocody-hangre-7e-tranche-5846887;2026-05-02T00:31:18+00:00
coinafrique;location;villa;location villa duplex 4 pièces + 1 bureau - cocody riviera bonoumin;750000;250;3000;4;Cocody;Riviera Bonoumin;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-4-pieces-1-bureau-cocody-riviera-bonoumin-5875552;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duple 5 pièces  - Cocody riviera palmeraie;650000;250;2600;5;Cocody;Riviera Palmeraie;;https://ci.coinafrique.com/annonce/villas/location-villa-duple-5-pieces-cocody-riviera-palmeraie-5873743;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa triplex  8pièces -   Abidjan cocody riviera attoban;3000000;700;4286;8;Cocody;Attoban;;https://ci.coinafrique.com/annonce/villas/location-villa-triplex-8pieces-abidjan-cocody-riviera-attoban-5882751;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain - Angré Djorogobité 1;100000000;600;166667;;Cocody;Angré;;https://ci.coinafrique.com/annonce/terrains/terrain-angre-djorogobite-1-5877290;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex de standing 4 pièces - Cocody riviera attoban;900000;300;3000;4;Cocody;Attoban;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-de-standing-4-pieces-cocody-riviera-attoban-5875541;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa basse 6 pièces - Marcory zone 4;2900000;800;3625;6;Marcory;Zone 4;;https://ci.coinafrique.com/annonce/villas/location-villa-basse-6-pieces-marcory-zone-4-5873735;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain  800 m2  - Cocody 2 plateaux vallon;620000000;800;775000;;Cocody;2 Plateaux;;https://ci.coinafrique.com/annonce/terrains/terrain-800-m2-cocody-2-plateaux-vallon-5873730;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain  à Treichville 3 terrain à l'angle avec  Documents TF;280000000;400;700000;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-a-treichville-3-terrain-a-langle-avec-documents-tf-5869706;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 7 pièces à Angré cite gestoci;1000000;400;2500;7;Cocody;Angré;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-7-pieces-a-angre-cite-gestoci-5869707;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces - Cocody riviera palmeraie;500000;120;4167;3;Cocody;Riviera Palmeraie;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-riviera-palmeraie-5868000;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa duplex 7 pièces - Abatta;1500000;500;3000;7;Cocody;;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-7-pieces-abatta-5887818;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 et 4 pièces - Abidjan cocody 8ème tranche;650000;200;3250;4;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-et-4-pieces-abidjan-cocody-8eme-tranche-5860169;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces - Abidjan cocody golf ⛳️ des appartements;1100000;250;4400;3;Cocody;;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-abidjan-cocody-golf-des-appartements-5872050;2026-05-02T00:31:18+00:00
coinafrique;location;villa;Location villa  duplex 6 pièces -  Cocody riviera golf;2500000;600;4167;6;Cocody;Riviera Golf;;https://ci.coinafrique.com/annonce/villas/location-villa-duplex-6-pieces-cocody-riviera-golf-5882742;2026-05-02T00:31:18+00:00
coinafrique;location;terrain;Terrain 300 m²  à bingerville a 100m du boulevard Mitterrand;25000000;300;83333;;Cocody;;;https://ci.coinafrique.com/annonce/terrains/terrain-300-m-a-bingerville-a-100m-du-boulevard-mitterrand-5869701;2026-05-02T00:31:18+00:00
coinafrique;location;appartement;Location appartement 3 pièces à cocody-angré 8ème tranche;270000;;;3;Cocody;Angré;;https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-a-cocody-angre-8eme-tranche-5872044;2026-05-02T00:31:18+00:00
