N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
2,SAPHIR ASSET MANAGEMENT, SAPHIR DYNAMIQUE,FCP,Diversifié,2023-03-31,5527.18,424846342
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2023-03-31,4027,3759487032
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2023-03-31,1655,3968205894
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2023-03-31,3926,4028363606
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2023-03-31,3370,4438716776
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2023-03-31,3839,5224139152
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2023-03-31,10735292,24118302807
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2023-03-31,5138,20873644758
1,AFRICAINE DE GESTION D'ACTIFS, AGA CONFORT PLUS,FCP,Obligataire (OLMT),2023-03-31,1265.01,7623109546
2,AFRICAINE DE GESTION D'ACTIFS, AGA CAPITAL PLUS,FCP,Diversifié,2023-03-31,1275.85,386555687
1,AFRICABOURSE ASSET MANAGEMENT,OBLIGATIS,FCP,Obligataire (OLMT),2023-03-31,8732.88,34379378554.99
2,AFRICABOURSE ASSET MANAGEMENT,CAPITAL SUR,FCP,Monétaire (OCT),2023-03-31,8050.35,1487120589.38
3,AFRICABOURSE ASSET MANAGEMENT,EPARGNE CROISSANCE,FCP,Diversifié,2023-03-31,7803.81,5739166650
4,AFRICABOURSE ASSET MANAGEMENT,EPARGNE ACTION,FCP,Actions ,2023-03-31,5614.72,1236722874.38
1,SOAGA,SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2023-03-31,14380.7219,41857717781.5762
2,SOAGA,SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2023-03-31,5596.8837,31949161703.1678
3,SOAGA,SICAV-ABDOU DIOUF,SICAV,Diversifié,2023-03-31,14942890.3687,21219802391.403
4,SOAGA,SOAGA EPARGNE ACTIVE,FCP,Diversifié,2023-03-31,11010.0588,9995041934.4766
5,SOAGA,SOAGA EPARGNE ACTIONS,FCP,Actions ,2023-03-31,8744.3103,7403522346.1418
6,SOAGA,BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2023-03-31,11957.4571,758271033.0506
7,SOAGA,SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2023-03-31,,
8,SOAGA,SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2023-03-31,,
1,BRIDGE ASSET MANAGEMENT, BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2023-03-31,5930.253,32099915882.669
2,BRIDGE ASSET MANAGEMENT, BRIDGE EQUILIBRE,FCP,Diversifié,2023-03-31,28627595.034,3720433662.336
3,BRIDGE ASSET MANAGEMENT, BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2023-03-31,5531.92,984175527.265
1,AFRICA ASSET MANAGEMENT, VALORIS,FCP,Actions ,2023-03-31,8479.8362,1791052430
2,AFRICA ASSET MANAGEMENT, EXPANSIO,FCP,Diversifié,2023-03-31,9602.0453,889426550
3,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2023-03-31,5154.7875,51843127
4,AFRICA ASSET MANAGEMENT, CMT SONABEL,FCPE,Diversifié,2023-03-31,5056.8349,50568349
