country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
ML;Mali;selogeraumali;achat;commercial;local commercial;Villa à vendre N’tabaccoro Assimi rond-point;55000000;168;327381;4;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/villa-a-vendre-ntabaccoro-assimi-rond-point/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;appartement;résidences;Vente de villa neuve à SIRACORO cité;70000000;320;218750;3;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/vente-de-villa-neuve-a-siracoro-cite/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Location appartement meublé Faladié sema;700000;;;2;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/location-appartement-meuble-faladie-sema-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Bâtiment à louer à sotuba;1200000;;;15;Sotuba;;;https://selogeraumali.com/annonces-immobilieres/batiment-a-louer-a-sotuba/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Apparement non meublé à Badalabougou;300000;;;2;Bamako Mali;;;https://selogeraumali.com/annonces-immobilieres/apparement-non-meuble-a-badalabougou/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa à louer à SIRAKORO Cité;150000;;;3;SIRAKORO;;;https://selogeraumali.com/annonces-immobilieres/villa-a-louer-a-sirakoro-cite/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Location Appartement non meublé à Magnambougou corniche;200000;;;2;Bamako;;;https://selogeraumali.com/annonces-immobilieres/location-appartement-non-meuble-a-magnambougou-corniche-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à sébénikoro;250000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-sebenikoro-7/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à sébénikoro;250000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-sebenikoro-6/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;terrain;terrains;Terrain à Vendre à DIATOULA -Cité de la paix en angle;6000000;;;;Diatoula cite de la paix;;;https://selogeraumali.com/annonces-immobilieres/terrain-a-vendre-a-diatoula-cite-de-la-paix-en-angle/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;VILLA BASSE A VENDRE A SIRAKORO CITE;75000000;320;234375;3;Sirakoro cité;;;https://selogeraumali.com/annonces-immobilieres/villa-basse-a-vendre-a-sirakoro-cite/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex neuf de haut standing à louer à bacodjicoroni aci;1000000;;;5;Bacodjicoroni aci;;;https://selogeraumali.com/annonces-immobilieres/duplex-neuf-de-haut-standing-a-louer-a-bacodjicoroni-aci-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex pour bureaux à louer à l’aci 2000;500000;;;;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/duplex-pour-bureaux-a-louer-a-laci-2000-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement meublé de 2 chambres à louer à l’ACI 2000;1000000;;;2;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/appartement-meuble-de-2-chambres-a-louer-a-laci-2000-7/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;VILLA A LOUER KABALA;200000;;;3;Kabala;;;https://selogeraumali.com/annonces-immobilieres/villa-a-louer-kabala/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer au début de sébénikoro;500000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-au-debut-de-sebenikoro-4/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa meublée à louer à faso kanu;500000;;;3;Faso kanu;;;https://selogeraumali.com/annonces-immobilieres/villa-meublee-a-louer-a-faso-kanu-2/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement meublé à Faso kanu;30000000;;;2;Faso kanu;;;https://selogeraumali.com/annonces-immobilieres/appartement-meuble-a-faso-kanu/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;maison;maisons;JOLIE MAISON DUPLEX A VENDRE;115000000;250;460000;3;Bamako,Mali;;;https://selogeraumali.com/annonces-immobilieres/jolie-maison-duplex-a-vendre/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;villa;villas;Vente Villa non meublé à Kabala;160000000;300;533333;5;Bamako;;;https://selogeraumali.com/annonces-immobilieres/vente-villa-non-meuble-a-kabala/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;achat;terrain;terrains;Vente terrain à Sebenicoro Cité Air France;55000000;600;91667;;Bamako;;;https://selogeraumali.com/annonces-immobilieres/vente-terrain-a-sebenicoro-cite-air-france/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;A louer duplex a banankabougou;300000;;;3;Banankabougou;;;https://selogeraumali.com/annonces-immobilieres/a-louer-duplex-a-banankabougou/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement non meublé de 2 chambres à louer à hamdallaye;175000;;;2;Hamdallaye;;;https://selogeraumali.com/annonces-immobilieres/appartement-non-meuble-de-2-chambres-a-louer-a-hamdallaye/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex de standing à louer à Badalabougou est;1500000;;;5;Badalabougou;;;https://selogeraumali.com/annonces-immobilieres/duplex-de-standing-a-louer-a-badalabougou-est/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureaux de standing à louer au quartier du fleuve;300000;;;2;Quartier du fleuve;;;https://selogeraumali.com/annonces-immobilieres/bureaux-de-standing-a-louer-au-quartier-du-fleuve/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureaux à louer à l’aci 2000;150000;;;;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/bureaux-a-louer-a-laci-2000-3/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;entrepots;Location Entrepôt à Sotuba;1500000;600;2500;;Bamako;;;https://selogeraumali.com/annonces-immobilieres/location-entrepot-a-sotuba-7/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;A louer ACI 2000, Électricité H24, confort et sécurité /F3;600000;;;2;35809 rue 405 hamdallaye aci 2000;;;https://selogeraumali.com/annonces-immobilieres/a-louer-aci-2000-electricite-h24-confort-et-securite-f3-2/;2026-05-12T17:55:08+00:00
