isin;code;name;issuer;issuerType;country;sector;currency;nominalValue;totalIssued;outstanding;couponRate;couponFrequency;issueDate;maturityDate;firstCouponDate;rating;ratingAgency;callable;callDate;greenBond;description;amortizationType;Titre/Nominal
BF0000001867;TPBF.O13;TPBF 6,50 % 2021 - 2031;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,50E+11;93750000000;6.50;2;25/03/2025;25/03/2031;25/09/2023;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2021-2031, emise pour le financement budgetaire.;ACD;T
BF0000002212;TPBF.O14;TPBF 6,30% 2022-2034;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,65E+11;1,40E+11;6.30;2;01/09/2022;01/09/2034;01/03/2025;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,30% sur la periode 2022-2034, emise pour le financement budgetaire.;ACD;T
BF0000002287;TPBF.O15;ETAT DU BURKINA 6,30 % 2022-2034;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,50E+11;1,35E+11;6.30;2;15/11/2022;15/11/2034;15/05/2025;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,30% sur la periode , emise pour le financement budgetaire.;ACD;T
BF0000002436;TPBF.O16;ETAT DU BURKINA 6% 2023-2028;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;1,73E+11;115333333333.333;6.00;2;10/01/2023;10/01/2028;10/07/2025;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,00% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;T
BF0000002709;TPBF.O17;TPBF 6,30 % 2023-2030;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;66865000000;60178500000;6.30;2;12/10/2023;12/10/2030;12/04/2026;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,30% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;T
BF0000002717;TPBF.O18;TPBF 6,50% 2023-2033;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;43511000000;40610266666.6667;6.50;2;10/10/2023;10/10/2033;12/04/2026;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2023-2033, emise pour le financement budgetaire.;ACD;T
BF0000003061;TPBF.O19;ETAT DU BURKINA 6,30% 2024-2029;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;69698600000;69698600000;6.30;2;06/05/2024;06/05/2029;06/11/2026;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,30% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;N
BF0000003079;TPBF.O20;ETAT DU BURKINA 6,55% 2024-2031;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;59984230000;59984230000;6.55;2;06/05/2024;06/05/2031;06/11/2026;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,55% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;N
BF0000003350;TPBF.O21;ETAT DU BURKINA 6,50% 2024-2029;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;65895000000;65895000000;6.50;2;28/11/2024;28/11/2029;28/05/2027;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,50% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;T
BF0000003368;TPBF.O22;ETAT DU BURKINA 6,80% 2024-2032;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;38100000000;38100000000;6.80;2;28/11/2024;28/11/2032;28/05/2028;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,80% sur la periode 2024-2032, emise pour le financement budgetaire.;ACD;T
BF0000004127;TPBF.O23;ETAT DU BURKINA 6,60% 2025-2030;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;67575000000;67575000000;6.60;2;25/10/2025;25/10/2030;24/04/2028;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,60% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
BF0000004143;TPBF.O24;ETAT DU BURKINA 6,80% 2025-2032;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;25850000000;25850000000;6.80;2;25/10/2025;25/10/2032;24/04/2029;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 6,80% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
BF0000004150;TPBF.O25;ETAT DU BURKINA 7% 2025-2035;Etat du Burkina Faso;Obligation d'Etat;BF;Etat;XOF;10000;37930000000;37930000000;7.00;2;25/10/2025;25/10/2035;24/04/2028;CCC+;S&P;false;;false;Obligation du Tresor Public du Burkina Faso au taux de 7,00% sur la periode 2025-2035, emise pour le financement budgetaire.;ACD;N
